,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Stage 3 Job Size,Job Time
374,375.0,15204.294002409384,15231.79946990934,1.0,1.0,0.0,0.0,1.0,1.0,1.0,27.505467499955557
375,376.0,15259.689690321782,15280.99794660617,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.308256284388335
376,377.0,15288.079182868732,15309.202192431254,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.123009562521474
377,378.0,15288.547661216484,15317.204146078766,1.0,1.0,0.0,0.0,1.0,1.0,1.0,28.656484862282014
378,379.0,15296.170017627612,15324.954624964445,2.0,1.0,1.0,0.0,1.0,1.0,1.0,28.784607336832778
379,380.0,15301.464394467457,15332.958241131288,3.0,1.0,1.0,1.0,1.0,1.0,1.0,31.49384666383048
380,381.0,15305.597828102409,15341.132603199381,4.0,2.0,1.0,1.0,1.0,1.0,1.0,35.534775096972226
381,382.0,15389.449095225355,15410.557864781655,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.108769556300103
382,383.0,15470.363644457952,15491.487115248763,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.123470790811552
383,384.0,15499.033340735057,15520.238952276974,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.20561154191637
384,385.0,15524.488051317585,15545.669590049438,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.181538731852925
385,386.0,15526.600462438142,15553.70506889204,1.0,1.0,0.0,0.0,1.0,1.0,1.0,27.10460645389867
386,387.0,15546.346200257762,15567.307877838059,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.961677580296964
387,388.0,15547.984973388586,15575.243286397505,2.0,1.0,0.0,1.0,1.0,1.0,1.0,27.258313008918776
388,389.0,15609.789384662374,15631.39195971558,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.602575053206237
389,390.0,15628.050854744679,15648.832835506864,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.781980762185412
390,391.0,15689.710187088172,15710.0745888628,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.364401774628277
391,392.0,15790.249865865435,15810.967492152691,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.71762628725628
392,393.0,15816.104190612272,15837.068172968977,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.963982356704946
393,394.0,15816.782173624537,15845.085399078966,1.0,1.0,0.0,0.0,1.0,1.0,1.0,28.303225454428684
394,395.0,15826.047051191279,15853.148362746088,2.0,1.0,1.0,0.0,1.0,1.0,1.0,27.10131155480849
395,396.0,15866.734068666756,15887.95164663081,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.217577964054726
396,397.0,15904.104416441793,15924.86382421133,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.759407769537574
397,398.0,16028.779486411244,16049.682867906262,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.90338149501804
398,399.0,16038.091604187317,16058.853019159087,1.0,0.0,1.0,0.0,1.0,1.0,1.0,20.761414971770137
399,400.0,16070.122583028002,16091.372206504755,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.249623476753186
400,401.0,16081.68566904742,16102.431115472928,1.0,0.0,1.0,0.0,1.0,1.0,1.0,20.745446425507907
401,402.0,16152.18592429391,16172.993110522306,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.80718622839595
402,403.0,16268.649792865786,16289.706725732303,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.056932866516945
403,404.0,16296.57956514327,16317.34657836638,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.767013223108734
404,405.0,16337.587006317366,16358.799149861265,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.21214354389849
405,406.0,16338.434356929547,16366.908889081247,1.0,1.0,0.0,0.0,1.0,1.0,1.0,28.47453215170026
406,407.0,16371.908066149317,16393.152695651283,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.24462950196539
407,408.0,16406.61884345578,16427.732277250532,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.113433794751472
408,409.0,16412.81517999343,16435.599981377018,1.0,1.0,0.0,0.0,1.0,1.0,1.0,22.784801383586455
409,410.0,16416.932839018325,16443.784744969656,2.0,1.0,1.0,0.0,1.0,1.0,1.0,26.85190595133099
410,411.0,16461.35678948116,16482.534074720214,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.177285239053163
411,412.0,16470.790345872912,16491.89011368556,1.0,0.0,1.0,0.0,1.0,1.0,1.0,21.09976781264777
412,413.0,16491.478362829042,16512.68689212372,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.208529294675827
413,414.0,16494.544281697505,16520.62531438873,1.0,1.0,0.0,0.0,1.0,1.0,1.0,26.08103269122512
414,415.0,16510.985655097775,16531.859839207147,2.0,0.0,0.0,2.0,1.0,1.0,1.0,20.874184109372436
415,416.0,16521.83545861388,16542.87723380083,1.0,0.0,1.0,0.0,1.0,1.0,1.0,21.041775186949963
